
2024/11/08 (15:25:55) | ===> btop++ v.1.4.0
2024/11/08 (15:25:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (18:47:54) | ===> btop++ v.1.4.0
2024/11/08 (18:47:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (18:48:00) | ===> btop++ v.1.4.0
2024/11/08 (18:48:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (19:48:23) | ===> btop++ v.1.4.0
2024/11/08 (19:48:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (20:06:44) | ===> btop++ v.1.4.0
2024/11/08 (20:06:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (20:27:15) | ===> btop++ v.1.4.0
2024/11/08 (20:27:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (20:31:52) | ERROR: Stall in Runner thread, restarting!

2024/11/08 (20:37:35) | ===> btop++ v.1.4.0
2024/11/08 (20:37:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (20:38:11) | ===> btop++ v.1.4.0
2024/11/08 (20:38:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (20:39:35) | ===> btop++ v.1.4.0
2024/11/08 (20:39:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/08 (21:43:59) | ===> btop++ v.1.4.0
2024/11/08 (21:43:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/20 (23:22:45) | ===> btop++ v.1.4.0
2024/11/20 (23:22:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/20 (23:25:09) | ===> btop++ v.1.4.0
2024/11/20 (23:25:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/20 (23:41:19) | ===> btop++ v.1.4.0
2024/11/20 (23:41:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

